freq,nrg_bal,siec,unit,geo\TIME_PERIOD	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,GEP,BIOE,KTOE,AT	157.782 	134.853 	145.522 	156.582 	137.310 	131.408 	143.406 	130.477 	141.589 	164.445 	209.360 	278.112 	349.028 	357.551 	367.710 	385.279 	392.062 	402.331 	403.781 	391.034 	399.630 	411.008 	423.116 	423.886 	401.775 	396.000 	386.423 	409.742 	393.067 	402.688 
A,GEP,BIOE,KTOE,BE	27.601 	26.999 	23.646 	30.868 	42.648 	48.839 	51.333 	61.995 	73.689 	89.242 	136.710 	191.383 	223.507 	286.161 	339.609 	384.067 	400.447 	452.046 	433.568 	379.940 	473.319 	462.322 	490.679 	465.397 	444.185 	452.672 	405.945 	425.469 	327.287 	311.993 
A,GEP,BIOE,KTOE,BG	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	1.336 	0.636 	3.030 	4.793 	5.660 	9.606 	17.265 	23.232 	30.405 	34.048 	135.251 	156.562 	146.117 	222.605 	192.914 	161.135 	147.581 
A,GEP,BIOE,KTOE,CY	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.013 	0.124 	0.992 	2.280 	3.020 	4.438 	4.284 	4.202 	4.341 	4.406 	4.473 	4.450 	4.892 	4.980 	5.213 	5.154 	4.973 	4.632 	0.000 
A,GEP,BIOE,KTOE,CZ	34.824 	25.107 	42.476 	50.496 	58.189 	45.124 	44.935 	43.320 	42.183 	61.339 	62.917 	78.948 	102.774 	124.598 	158.939 	185.940 	232.457 	289.915 	349.158 	400.991 	411.789 	408.885 	427.083 	415.157 	432.645 	448.440 	463.072 	464.864 	446.422 	462.503 
A,GEP,BIOE,KTOE,DE	209.200 	215.305 	228.117 	262.941 	301.978 	372.399 	394.669 	456.492 	769.475 	914.445 	1264.660 	1628.203 	2116.681 	2409.028 	2655.632 	2916.853 	3171.969 	3714.789 	3913.500 	4152.021 	4327.257 	4379.106 	4377.988 	4367.498 	4310.146 	4379.278 	4314.430 	4262.420 	4514.660 	4509.716 
A,GEP,BIOE,KTOE,DK	55.498 	71.621 	83.887 	92.691 	113.328 	111.780 	129.923 	161.565 	214.445 	249.957 	272.829 	263.801 	266.896 	269.905 	285.383 	394.934 	376.170 	382.283 	370.894 	369.778 	360.874 	421.486 	544.680 	517.023 	526.053 	523.228 	775.505 	627.479 	561.476 	630.714 
A,GEP,BIOE,KTOE,EE	0.516 	0.430 	0.688 	1.032 	1.032 	1.139 	0.946 	1.978 	2.580 	2.580 	3.038 	3.439 	2.834 	3.150 	26.894 	63.629 	67.157 	86.062 	57.180 	65.176 	70.335 	81.600 	94.156 	112.403 	117.195 	159.233 	152.154 	135.028 	118.479 	120.485 
A,GEP,BIOE,KTOE,EL	0.086 	0.000 	0.000 	0.000 	0.086 	0.000 	6.793 	10.834 	9.028 	10.676 	10.449 	9.813 	15.821 	16.454 	18.708 	16.337 	17.783 	17.566 	18.608 	18.887 	19.899 	23.580 	26.658 	27.005 	34.568 	38.999 	42.924 	48.891 	56.307 	61.460 
A,GEP,BIOE,KTOE,ES	86.930 	93.121 	125.795 	131.642 	139.123 	128.375 	140.241 	222.356 	273.775 	286.297 	228.102 	238.521 	249.183 	279.880 	299.914 	345.228 	396.303 	427.945 	498.538 	465.520 	495.615 	489.166 	524.051 	509.591 	480.911 	529.526 	598.564 	587.560 	511.569 	534.669 
A,GEP,BIOE,KTOE,FI	568.186 	506.363 	678.504 	802.494 	719.089 	742.822 	711.251 	772.899 	806.473 	897.640 	817.903 	929.831 	855.965 	894.638 	750.987 	943.613 	966.893 	963.104 	1033.309 	1011.612 	983.182 	991.868 	1021.163 	1111.525 	1144.182 	996.201 	1169.390 	1098.100 	975.744 	893.749 
A,GEP,BIOE,KTOE,FR	156.664 	166.122 	186.156 	183.233 	201.032 	213.156 	244.970 	261.651 	277.472 	284.781 	291.574 	290.370 	322.528 	341.445 	355.116 	381.857 	433.383 	455.563 	488.559 	514.866 	561.444 	648.112 	671.907 	724.333 	751.836 	768.339 	849.100 	894.709 	961.888 	1032.823 
A,GEP,BIOE,KTOE,HR	0.774 	0.774 	0.086 	0.774 	0.774 	0.086 	0.000 	0.000 	0.000 	0.344 	1.204 	0.946 	0.602 	1.814 	1.717 	2.841 	4.664 	8.074 	10.808 	14.151 	22.801 	37.096 	45.193 	57.446 	75.529 	84.119 	94.566 	97.059 	89.983 	89.106 
A,GEP,BIOE,KTOE,HU	4.848 	4.294 	4.552 	5.172 	5.556 	5.570 	6.039 	3.609 	13.816 	62.371 	142.507 	108.728 	134.306 	166.685 	200.760 	197.460 	159.847 	142.290 	157.527 	182.836 	185.833 	178.085 	185.390 	197.753 	191.914 	185.722 	192.232 	184.268 	135.205 	158.822 
A,GEP,BIOE,KTOE,IE	0.000 	2.322 	6.965 	7.309 	7.825 	8.169 	8.340 	7.051 	7.395 	9.372 	11.201 	11.043 	15.229 	18.660 	22.375 	27.035 	28.895 	38.074 	41.778 	46.515 	41.151 	58.402 	63.220 	72.944 	73.498 	79.454 	85.666 	88.296 	73.021 	87.510 
A,GEP,BIOE,KTOE,IT	18.745 	32.416 	48.581 	68.358 	96.905 	119.838 	157.543 	232.945 	289.998 	362.928 	401.922 	439.109 	452.037 	513.010 	649.761 	811.703 	931.416 	1073.683 	1469.487 	1610.698 	1667.730 	1677.437 	1667.634 	1651.121 	1690.233 	1704.363 	1666.807 	1554.641 	1422.845 	1537.431 
A,GEP,BIOE,KTOE,LT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.172 	0.344 	0.602 	0.516 	0.602 	2.064 	4.643 	5.933 	8.770 	12.640 	13.500 	18.745 	30.696 	34.394 	38.349 	37.747 	43.306 	46.690 	45.847 	51.083 	58.942 	60.894 	65.718 	84.760 
A,GEP,BIOE,KTOE,LU	1.676 	1.328 	1.455 	1.468 	1.621 	1.922 	2.225 	2.323 	2.936 	3.661 	3.969 	4.748 	5.388 	5.989 	6.723 	7.235 	8.119 	8.789 	8.619 	10.510 	11.275 	12.185 	14.887 	18.794 	23.989 	32.133 	33.499 	33.550 	32.565 	37.995 
A,GEP,BIOE,KTOE,LV	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.223 	0.831 	2.056 	3.243 	3.595 	3.661 	3.571 	3.850 	4.117 	5.621 	10.267 	24.810 	43.104 	57.520 	66.165 	70.834 	80.021 	81.145 	79.744 	74.359 	74.101 	68.904 	56.670 	54.516 
A,GEP,BIOE,KTOE,MT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.422 	0.765 	0.507 	0.555 	0.571 	0.714 	0.837 	0.770 	0.550 	0.506 	0.622 	0.635 	0.826 	0.799 
A,GEP,BIOE,KTOE,NL	86.817 	112.517 	125.413 	136.420 	153.484 	172.928 	203.362 	250.808 	219.797 	285.862 	453.501 	446.333 	345.516 	442.539 	527.034 	606.891 	609.141 	622.453 	517.117 	438.093 	432.673 	431.467 	407.683 	404.444 	520.843 	789.834 	966.088 	877.627 	697.366 	614.473 
A,GEP,BIOE,KTOE,NO	24.850 	26.053 	20.722 	23.216 	23.474 	22.012 	21.926 	21.496 	28.409 	30.868 	28.633 	33.362 	33.190 	34.136 	19.518 	30.009 	29.149 	28.031 	34.050 	21.763 	21.754 	20.034 	22.270 	17.555 	21.755 	20.620 	18.503 	20.511 	21.492 	: 
A,GEP,BIOE,KTOE,PL	5.761 	11.436 	14.531 	18.917 	16.595 	19.003 	38.177 	36.715 	39.123 	84.501 	129.934 	171.349 	219.740 	311.112 	449.383 	542.089 	653.561 	867.953 	741.370 	857.850 	854.416 	684.132 	557.871 	563.019 	660.618 	717.993 	693.145 	656.164 	701.669 	683.719 
A,GEP,BIOE,KTOE,PT	84.953 	82.545 	89.166 	87.876 	99.742 	111.436 	115.649 	126.655 	119.604 	132.582 	144.514 	146.603 	160.271 	159.283 	179.346 	224.737 	251.380 	253.711 	262.347 	262.071 	266.889 	264.011 	276.896 	271.354 	289.186 	325.516 	344.158 	353.642 	326.751 	322.591 
A,GEP,BIOE,KTOE,RO	0.000 	0.000 	0.946 	0.946 	0.000 	0.000 	0.000 	0.258 	0.258 	0.344 	0.516 	0.383 	3.095 	2.053 	0.906 	9.500 	16.912 	18.202 	21.604 	43.355 	44.974 	45.631 	45.156 	37.586 	43.349 	46.994 	56.131 	55.633 	38.223 	40.971 
A,GEP,BIOE,KTOE,SE	202.408 	182.115 	238.435 	239.037 	231.900 	352.365 	324.764 	358.985 	387.790 	619.206 	644.008 	718.761 	845.729 	888.838 	985.418 	1048.257 	991.960 	1048.495 	984.523 	919.690 	925.623 	987.711 	1038.349 	1024.334 	1120.894 	961.247 	1125.578 	1129.737 	1006.534 	875.573 
A,GEP,BIOE,KTOE,SI	0.000 	0.000 	0.000 	0.000 	2.666 	5.996 	6.184 	8.727 	10.515 	10.385 	9.778 	9.480 	9.729 	24.791 	16.188 	18.648 	21.647 	22.983 	22.420 	22.221 	23.016 	24.227 	24.929 	22.998 	21.585 	23.564 	23.859 	23.171 	25.496 	22.306 
A,GEP,BIOE,KTOE,SK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	13.276 	13.070 	8.512 	1.720 	2.752 	34.249 	40.757 	44.454 	46.174 	56.922 	70.421 	80.911 	78.332 	121.840 	142.906 	148.839 	145.830 	139.725 	145.572 	143.852 	158.555 	128.117 	121.582 	136.113 
A,GEP,C0000X0350-0370,KTOE,AT	371.539 	453.826 	501.376 	354.514 	379.536 	492.433 	592.691 	568.616 	725.967 	679.708 	616.184 	633.710 	567.537 	475.253 	323.174 	422.909 	467.029 	377.286 	362.139 	252.371 	254.021 	175.634 	151.148 	155.226 	128.932 	48.092 	12.033 	5.016 	1.800 	2.033 
A,GEP,C0000X0350-0370,KTOE,BE	1420.206 	1337.145 	1182.115 	1219.862 	854.600 	1110.576 	854.342 	862.339 	828.719 	786.414 	704.987 	588.822 	556.750 	476.956 	445.228 	360.877 	298.882 	291.402 	258.641 	179.725 	178.392 	33.491 	7.816 	7.850 	8.074 	7.008 	3.783 	4.411 	3.448 	1.092 
A,GEP,C0000X0350-0370,KTOE,BG	1489.424 	1476.096 	1623.732 	1573.431 	1399.742 	1456.664 	1676.440 	1477.386 	1654.084 	1625.279 	1587.102 	1640.843 	1923.302 	1993.207 	1814.531 	1943.766 	2367.756 	1966.982 	1667.377 	1831.900 	1936.543 	1665.004 	1798.288 	1604.426 	1479.112 	1161.708 	1469.122 	1873.217 	1008.445 	753.054 
A,GEP,C0000X0350-0370,KTOE,CY	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,GEP,C0000X0350-0370,KTOE,CZ	3812.726 	3906.191 	3931.728 	3896.561 	3796.303 	4535.856 	4522.270 	4291.230 	4366.208 	4325.709 	4258.126 	4269.046 	4625.451 	4194.153 	3950.645 	4032.674 	4014.187 	3781.427 	3535.082 	3501.892 	3537.489 	3609.114 	3563.525 	3542.689 	3210.284 	2665.980 	2938.699 	3171.293 	2574.435 	2280.817 
A,GEP,C0000X0350-0370,KTOE,DE	24861.737 	25450.731 	24448.839 	25129.665 	24184.867 	25510.490 	25256.578 	25760.447 	26202.064 	25703.095 	24775.838 	24844.024 	25546.432 	23663.715 	21792.347 	22605.073 	22568.358 	23751.333 	24780.911 	23595.013 	23404.987 	22506.019 	20744.110 	19617.885 	14742.046 	11573.087 	14157.438 	15472.744 	10729.665 	9142.992 
A,GEP,C0000X0350-0370,KTOE,DK	2352.193 	3410.576 	2472.571 	2033.792 	1726.655 	1433.620 	1532.158 	1569.819 	2176.010 	1605.589 	1329.579 	2112.296 	1710.318 	1501.462 	1520.808 	1462.253 	1201.720 	906.191 	1228.891 	951.333 	611.339 	762.273 	533.591 	564.954 	284.695 	263.259 	375.363 	380.851 	217.118 	150.530 
A,GEP,C0000X0350-0370,KTOE,EE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	1.118 	0.516 	0.000 	0.000 	1.513 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,GEP,C0000X0350-0370,KTOE,EL	2467.498 	2519.175 	2633.620 	2789.510 	2784.265 	2950.387 	3046.518 	2972.141 	3024.076 	3042.132 	3056.148 	2774.205 	2981.599 	2868.100 	2939.639 	2648.065 	2670.937 	2675.752 	2270.507 	2213.758 	1900.860 	1623.646 	1613.500 	1477.657 	1042.438 	567.928 	457.249 	494.996 	394.722 	281.128 
A,GEP,C0000X0350-0370,KTOE,ES	5667.498 	4638.263 	5388.564 	5295.357 	6329.235 	6800.860 	6042.132 	6980.396 	6424.936 	6801.892 	6797.334 	5738.521 	6259.243 	4188.650 	3087.704 	2178.332 	3781.599 	4735.512 	3434.308 	3766.724 	4416.681 	3132.760 	3880.224 	3210.748 	1105.675 	474.807 	417.713 	675.838 	311.522 	221.971 
A,GEP,C0000X0350-0370,KTOE,EU27_2020	66715.909 	68155.330 	65761.651 	66508.600 	65242.219 	68816.854 	68177.644 	70021.840 	73013.243 	71846.174 	69551.349 	70206.283 	71264.437 	65094.846 	60496.545 	60294.939 	62323.887 	63861.966 	62676.717 	59567.400 	60621.585 	56676.671 	54938.815 	51213.671 	38771.435 	30302.406 	36043.241 	38568.840 	27402.528 	23302.893 
A,GEP,C0000X0350-0370,KTOE,FI	952.193 	1299.828 	1104.385 	682.717 	769.304 	729.751 	912.640 	1092.519 	1655.030 	1418.487 	558.641 	1404.213 	1200.000 	731.900 	957.008 	1250.473 	840.929 	610.576 	919.175 	681.427 	440.327 	599.656 	503.611 	497.936 	374.807 	210.060 	229.837 	295.959 	134.308 	71.367 
A,GEP,C0000X0350-0370,KTOE,FR	2079.020 	2410.834 	1906.965 	2883.233 	2517.541 	2321.926 	1760.791 	2034.222 	2257.954 	2095.615 	2365.864 	1968.100 	2101.978 	1983.061 	1863.027 	2008.512 	1495.656 	1844.925 	2050.161 	967.941 	1022.739 	879.255 	1101.757 	714.488 	312.752 	265.379 	467.998 	357.984 	138.474 	87.753 
A,GEP,C0000X0350-0370,KTOE,HR	20.808 	10.705 	43.938 	46.260 	44.368 	133.362 	140.843 	181.341 	206.707 	183.921 	200.172 	194.067 	208.340 	214.531 	142.562 	205.073 	222.012 	192.433 	208.169 	203.611 	198.624 	223.216 	117.549 	124.901 	140.963 	104.506 	125.271 	134.041 	113.947 	68.899 
A,GEP,C0000X0350-0370,KTOE,HU	780.739 	825.967 	807.051 	821.754 	875.494 	824.592 	760.017 	772.399 	788.478 	703.181 	603.869 	602.064 	633.964 	609.286 	545.142 	536.028 	557.438 	545.486 	541.702 	515.477 	497.850 	484.265 	424.076 	401.462 	347.034 	319.089 	259.157 	257.438 	214.359 	210.146 
A,GEP,C0000X0350-0370,KTOE,IE	603.439 	601.204 	583.577 	579.536 	501.462 	586.156 	607.223 	586.500 	533.362 	535.598 	549.355 	505.933 	467.494 	442.121 	344.309 	305.651 	339.189 	432.017 	368.234 	340.192 	419.104 	403.771 	313.374 	185.016 	43.476 	57.879 	233.665 	203.464 	104.107 	54.395 
A,GEP,C0000X0350-0370,KTOE,IT	2074.119 	1898.538 	1764.230 	2004.385 	2047.463 	2258.985 	2728.289 	3047.893 	3337.317 	3913.844 	3749.441 	3801.204 	3792.949 	3703.611 	3417.455 	3416.509 	3845.744 	4225.365 	3878.332 	3736.371 	3714.617 	3061.651 	2805.454 	2447.968 	1619.901 	1150.429 	1205.668 	1943.822 	1136.706 	339.504 
A,GEP,C0000X0350-0370,KTOE,LT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,GEP,C0000X0350-0370,KTOE,LU	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,GEP,C0000X0350-0370,KTOE,LV	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.086 	0.172 	0.172 	0.172 	0.172 	0.172 	0.086 	0.000 	0.000 	0.000 	0.018 	0.029 	0.006 	0.000 	0.000 	0.000 	0.000 	0.000 
A,GEP,C0000X0350-0370,KTOE,MT	7.739 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,GEP,C0000X0350-0370,KTOE,NL	2355.890 	2219.862 	2101.290 	2272.829 	1885.125 	2087.360 	2190.972 	2234.910 	2284.695 	2145.056 	2020.636 	2041.015 	2142.476 	2019.175 	2087.532 	1942.218 	1839.209 	2081.857 	2116.423 	2535.254 	3386.981 	3165.669 	2698.107 	2371.263 	1521.378 	654.966 	1255.361 	1272.760 	749.076 	642.047 
A,GEP,C0000X0350-0370,KTOE,NO	4.987 	4.213 	3.697 	3.611 	3.525 	3.439 	3.525 	3.525 	3.611 	3.697 	3.611 	3.697 	3.697 	3.353 	3.525 	3.611 	3.353 	3.353 	3.439 	3.267 	3.353 	3.611 	3.697 	3.794 	3.837 	3.867 	3.800 	3.647 	2.315 	: 
A,GEP,C0000X0350-0370,KTOE,PL	11329.751 	11649.269 	11585.641 	11541.617 	11463.972 	11684.265 	11605.331 	11431.986 	12094.411 	12134.222 	12199.570 	12640.413 	12382.545 	11942.820 	11469.390 	11738.091 	12017.025 	11571.195 	11841.617 	11136.715 	11222.614 	11205.675 	11277.603 	11226.393 	10158.516 	9234.543 	10969.199 	10724.612 	8499.445 	8039.216 
A,GEP,C0000X0350-0370,KTOE,PT	1152.709 	1079.364 	1114.015 	1030.009 	1293.723 	1254.944 	1169.905 	1307.997 	1249.097 	1277.558 	1309.200 	1286.156 	1066.036 	962.683 	1108.856 	610.490 	846.776 	1125.279 	1017.885 	1027.687 	1266.294 	1085.985 	1261.049 	1032.361 	475.726 	203.189 	68.788 	0.000 	0.000 	0.000 
A,GEP,C0000X0350-0370,KTOE,RO	1770.679 	1760.189 	1449.871 	1245.486 	1262.597 	1627.343 	1693.379 	1746.518 	2007.223 	1847.206 	1884.437 	2162.167 	2157.868 	2220.378 	1869.991 	1778.246 	2130.868 	1969.132 	1456.234 	1527.343 	1558.469 	1365.520 	1442.835 	1345.271 	1170.978 	804.811 	919.053 	891.296 	692.910 	608.824 
A,GEP,C0000X0350-0370,KTOE,SE	195.099 	317.369 	172.657 	175.580 	192.777 	140.671 	161.565 	204.041 	244.712 	86.844 	55.718 	75.580 	55.804 	44.196 	44.282 	87.876 	56.492 	41.531 	56.148 	31.900 	33.276 	22.614 	27.687 	28.805 	18.229 	0.086 	0.946 	0.860 	2.322 	1.118 
A,GEP,C0000X0350-0370,KTOE,SI	395.873 	383.835 	404.643 	428.547 	385.211 	396.475 	422.958 	455.890 	439.209 	446.346 	453.224 	467.412 	471.367 	457.696 	441.273 	454.686 	456.320 	442.390 	419.261 	323.216 	377.042 	430.782 	414.800 	397.444 	385.467 	375.153 	330.896 	269.287 	270.732 	300.779 
A,GEP,C0000X0350-0370,KTOE,SK	555.030 	506.363 	540.843 	503.955 	547.979 	480.138 	500.602 	443.250 	512.984 	488.478 	475.924 	456.492 	412.898 	401.720 	331.470 	306.965 	305.589 	293.723 	264.316 	247.034 	243.336 	240.671 	257.180 	258.899 	200.946 	160.447 	146.002 	138.951 	104.987 	45.228 
A,GEP,FE,KTOE,AT	1399.328 	1529.096 	1536.198 	1451.342 	1510.538 	1411.768 	1618.144 	1615.856 	1962.988 	1918.003 	2029.435 	1858.661 	1697.704 	1716.779 	1644.095 	1970.487 	1835.808 	1493.547 	1211.497 	981.325 	1226.813 	1218.686 	1408.012 	1287.188 	1392.305 	1183.341 	1219.595 	1222.659 	939.036 	942.221 
A,GEP,FE,KTOE,BE	2707.825 	2686.242 	2567.928 	3022.442 	2880.396 	2886.672 	2682.201 	2789.424 	3008.598 	2932.552 	2956.895 	2876.852 	2996.000 	2821.362 	3181.484 	3300.516 	2794.411 	2633.396 	2353.586 	2152.210 	2371.453 	2250.894 	2313.723 	2386.761 	2522.014 	2580.414 	2231.803 	2220.568 	1853.126 	1524.438 
A,GEP,FE,KTOE,BG	1910.060 	1867.154 	1901.634 	1847.549 	1672.571 	1702.064 	1912.640 	1698.452 	1893.293 	1843.680 	1803.697 	1870.249 	2181.685 	2223.302 	2011.350 	2146.652 	2558.126 	2188.478 	1887.928 	2034.222 	2112.468 	1868.874 	1998.051 	1808.557 	1698.407 	1386.733 	1761.798 	2092.841 	1200.107 	964.101 
